Błędy metody Trapezów,Błędy metody Simpsona
0.04225362045861866,0.008230200360968415
0.010257298472728604,4.0814218923471146E-4
0.004534816683586934,7.756516231285926E-5
0.0025461604427375606,2.421890059275955E-5
0.0016281634171052828,9.859824941504947E-6
0.0011301497099162061,4.7392813070368245E-6
8.300842527381447E-4,2.5530762206016355E-6
6.354191283299004E-4,1.4946431392548476E-6
5.019977612606141E-4,9.322767389186026E-7
4.065823930058665E-4,6.112816940129218E-7
3.3599662443878353E-4,4.1731921202048383E-7
2.8231651431143145E-4,2.945508902063576E-7
2.405444454703365E-4,2.1379239559249363E-7
2.074018786636378E-4,1.5891269478096604E-7
1.8066562424334798E-4,1.2056718617925455E-7
1.5878494069893057E-4,9.31218447908222E-8
1.4065143505895272E-4,7.306070975987566E-8
1.2545584826376133E-4,5.812273490279907E-8
1.1259615665851208E-4,4.681497955960623E-8
1.0161700200170265E-4,3.812833343497246E-8
9.216881284845879E-5,3.1366320624170996E-8
8.397962675715798E-5,2.6039137041022897E-8
7.68352956918017E-5,2.1796437155163773E-8
7.056534077029553E-5,1.8383743277672338E-8
6.503268607735424E-5,1.5613599302355397E-8
6.012610176353572E-5,1.334613852765898E-8
5.5754569070060045E-5,1.1475759675860786E-8
5.184302826941045E-5,9.921862553774474E-9
4.832913482374912E-5,8.622302233307622E-9
4.5160759520518345E-5,7.528720313842996E-9
4.2294043769958156E-5,6.60315069289652E-9
3.9691873514130505E-5,5.8155476823085195E-9
3.732267183720328E-5,5.141951114895349E-9
3.5159436425041823E-5,4.563120020728562E-9
3.31789667243898E-5,4.063494624118036E-9
3.1361239252014617E-5,3.630418299316318E-9
2.9688899457286366E-5,3.253531277724875E-9
2.814684593299699E-5,2.92430840653779E-9
2.6721888291003637E-5,2.6356940241445415E-9
2.540246413257341E-5,2.3818241823292396E-9
2.4178403752905808E-5,2.157797412971618E-9
2.3040733585305562E-5,1.9595022549001584E-9
2.198151126189818E-5,1.7834710652753216E-9
2.0993686611292528E-5,1.6267704128214433E-9
2.007098403872254E-5,1.4869089848268402E-9
1.9207802602810853E-5,1.3617603433768721E-9
1.8399130820023757E-5,1.2495055545791445E-9
1.7640473754826358E-5,1.1485833117941269E-9
1.6927790423171274E-5,1.0576479692048224E-9
1.6257439867467527E-5,9.755363461483313E-10
1.562613456107531E-5,9.012409984965331E-10
1.5030900026663518E-5,8.338853496603349E-10
1.4469039729736455E-5,7.72707564600239E-10
1.393810448954702E-5,7.170370130982207E-10
1.3435865737598807E-5,6.662924934008885E-10
1.29602920990457E-5,6.199573632237332E-10
1.2509528815096704E-5,5.775815103969961E-10
1.2081879632253045E-5,5.387650325872073E-10
1.1675790822673893E-5,5.031555450063507E-10
1.1289837050537654E-5,4.704399925170577E-10
1.0922708845007012E-5,4.403407360964451E-10
1.057320148428742E-5,4.1261072336595817E-10
1.0240205094103061E-5,3.8702938076617954E-10
9.922695827196959E-6,3.6340039311077987E-10
9.6197279886856E-6,3.4154690187193637E-10
9.330426974346606E-6,3.2131250438105496E-10
9.0539829662728E-6,3.025546480017738E-10
8.789645246531919E-6,2.851457403529878E-10
8.536717105656066E-6,2.689707900849214E-10
8.294551236381897E-6,2.5392671298973823E-10
8.062545597348203E-6,2.3991991726646233E-10
7.84013966367847E-6,2.2686622025425152E-10
7.6268110364985375E-6,2.1468810063041133E-10
7.422072377777367E-6,2.0331539229978546E-10
7.225468616423036E-6,1.926873660629269E-10
7.03657442538419E-6,1.8274468049916948E-10
6.8549919167715245E-6,1.7343346203624321E-10
6.680348541260317E-6,1.6470902419740696E-10
6.5122951797003115E-6,1.5652681928379764E-10
6.3505043992329036E-6,1.4884526944314302E-10
6.194668847797624E-6,1.4163012429513344E-10
6.044499804208625E-6,1.3484638405891758E-10
5.899725831315372E-6,1.2846390617937686E-10
5.76009155531243E-6,1.2245476854744197E-10
5.62535653422791E-6,1.1679315847779037E-10
5.495294224500125E-6,1.1145462330830469E-10
5.36969102565843E-6,1.0641831860169759E-10
5.2483454059948365E-6,1.016627892980182E-10
5.131067090768937E-6,9.717018856214565E-11
5.017676317969899E-6,9.292250302550542E-11
4.908003147258144E-6,8.890430058805521E-11
4.801886824723489E-6,8.510181448428966E-11
4.699175191524851E-6,8.149950159186403E-11
4.599724140047501E-6,7.808687030319561E-11
4.503397106753182E-6,7.485045916411082E-11
4.41006460308313E-6,7.17813031236858E-11
4.31960378280416E-6,6.886616277235191E-11
4.231898032253101E-6,6.609776614929785E-11
4.14683660082682E-6,6.34666486032387E-11
