Błędy metody Trapezów,Błędy metody Simpsona
0.19916556575538547,0.0046100113342477655
0.050014401215223714,2.9734636850253793E-4
0.022247117107391468,5.908367586826557E-5
0.012517650294626925,1.873332109347814E-5
0.008012377169167806,7.680558609557409E-6
0.0055645587105654926,3.7059116255733215E-6
0.004088427944237694,2.000990188655294E-6
0.0031302924616882777,1.1731840441342456E-6
0.0024733661583011823,7.325159163684702E-7
0.0020034547812857184,4.806519928735042E-7
0.00165576499313147,3.2831618757001024E-7
0.0013913135473329064,2.318262541933791E-7
0.0011855052403841881,1.68319065352307E-7
0.0010222008439955133,1.2514391478646303E-7
8.904540261571725E-4,9.496620645421672E-8
7.826281360427956E-4,7.3360825858515E-8
6.932641487900071E-4,5.7564768063400606E-8
6.183758898865577E-4,4.5800412351582054E-8
5.549976969128068E-4,3.6893585964037356E-8
5.008862331239428E-4,3.005040660752911E-8
4.543192123565021E-4,2.472279270193667E-8
4.1395664219123773E-4,2.0525210864263954E-8
3.787433385618044E-4,1.7181865707982524E-8
3.478392561113708E-4,1.4492374411645415E-8
3.205689202285811E-4,1.2309119945541624E-8
2.963842015555329E-4,1.0521945092989426E-8
2.748365562901256E-4,9.047657734129189E-9
2.555560780788113E-4,7.822771763699166E-9
2.3823551621671157E-4,6.798336116276005E-9
2.226179587179189E-4,5.936237279513534E-9
2.08487250392686E-4,5.2065569633441555E-9
1.956604732322731E-4,4.585627877418119E-9
1.8398199693248074E-4,4.054560243105243E-9
1.7331873584414126E-4,3.5981964074949246E-9
1.6355634057774182E-4,3.2042679620758463E-9
1.5459611958235087E-4,2.8628095449789726E-9
1.463525350189343E-4,2.5656463620293835E-9
1.3875115376560387E-4,2.3060513498762703E-9
1.3172696133523232E-4,2.078482275180704E-9
1.2522296701078517E-4,1.878301958413431E-9
1.191890442679977E-4,1.7016485998055941E-9
1.1358096205604795E-4,1.5452892299094856E-9
1.0835957186916545E-4,1.4064784892298121E-9
1.034901227274787E-4,1.2829071138753534E-9
9.894168143187443E-5,1.1726193349659297E-9
9.468664008682737E-5,1.0739267253256912E-9
9.070029621582876E-5,9.854090876615373E-10
8.696049339196321E-5,9.058238603643076E-10
8.344731272735828E-5,8.341114465792998E-10
8.014280707868693E-5,7.693605752479016E-10
7.703077137577452E-5,7.107709976139631E-10
7.409654362966478E-5,6.576552635806365E-10
7.132683181954036E-5,6.094049709304272E-10
6.870956319726673E-5,5.6550231164465E-10
6.623375244796392E-5,5.254872093019003E-10
6.388938622325924E-5,4.889413318664992E-10
6.166732180634682E-5,4.5552539518212143E-10
5.9559197733705105E-5,4.249081086982187E-10
5.7557355128246E-5,3.9682568342414015E-10
5.5654767952439954E-5,3.710294294023697E-10
5.384498131544291E-5,3.4728930842220507E-10
5.212205666271785E-5,3.254170266586698E-10
5.048052296618977E-5,3.0524560656886024E-10
4.89153332674519E-5,2.86613399680391E-10
4.742182580130816E-5,2.693747447324313E-10
4.599568929108955E-5,2.5341417853042003E-10
4.463293177892069E-5,2.3862600784241295E-10
4.332985263655331E-5,2.248965458306884E-10
4.2083017442351434E-5,2.121396391885355E-10
4.088923534961708E-5,2.0027446367976154E-10
3.9745538601643204E-5,1.8923085320921018E-10
3.864916409135333E-5,1.7893153625436753E-10
3.7597536677758114E-5,1.6932144575321217E-10
3.658825402030885E-5,1.603561727847591E-10
3.561907285565269E-5,1.5197176850278993E-10
3.4687896541818475E-5,1.4413181759209692E-10
3.379276366732853E-5,1.367901347748557E-10
3.2931837764316185E-5,1.2990675202217972E-10
3.210339784409655E-5,1.23455023981478E-10
3.1305829799599394E-5,1.1739320626702465E-10
3.053761854765469E-5,1.1170353531042565E-10
2.9797340830306496E-5,1.063540366885718E-10
2.9083658597883755E-5,1.0132783501148879E-10
2.839531295339981E-5,9.658673860712952E-11
2.7731118636076246E-5,9.211031937184089E-11
2.7089958894777055E-5,8.79047945545608E-11
2.64707807726694E-5,8.393197248324213E-11
2.587259081643367E-5,8.01803068384288E-11
2.529445105725614E-5,7.66391394790844E-11
2.4735475322223976E-5,7.328715412313613E-11
2.4194825914314322E-5,7.011902170006579E-11
2.3671710364325804E-5,6.711964317673846E-11
2.3165378605582987E-5,6.428280130421626E-11
2.2675120245452263E-5,6.158806797884608E-11
2.220026208288317E-5,5.903189048694912E-11
2.174016581335536E-5,5.661870972062388E-11
2.1294225823531576E-5,5.431033400782326E-11
2.086186728256223E-5,5.213429687955795E-11
2.044254421651459E-5,5.005151848536116E-11
