Błędy metody Trapezów,Błędy metody Simpsona
0.07561859304598695,0.029127817543228574
0.026571456466434107,0.010222410939916493
0.014416085301499848,0.0055507791596447476
0.009343573325027776,0.0036009456112262583
0.00667550938579442,0.0025747478046653782
0.0050723158759096165,0.001957726067378651
0.004021452952005511,0.0015530350676034033
0.0032890007356298767,0.0012708098724969474
0.002754588696661564,0.0010647904600027402
0.002350617855864101,9.089873458876241E-4
0.002036505793327592,7.877918770322623E-4
0.0017865711111690885,6.913228562561713E-4
0.0015838529639635723,6.13052082947263E-4
0.001416746867447749,5.485115059293832E-4
0.00127707338866756,4.945508161418033E-4
0.0011589189833696167,4.488917326188613E-4
0.0010579134878865304,4.098501123985798E-4
9.707649040597843E-4,3.761569731919323E-4
8.949512655025416E-4,3.468399182491311E-4
8.285114183008702E-4,3.211426057809774E-4
7.698998083371933E-4,2.9846884212147984E-4
7.178836999779392E-4,2.783430021926492E-4
6.714691375853121E-4,2.6038151231499995E-4
6.298467591578927E-4,2.4427197515120014E-4
5.92351564135285E-4,2.2975766740707115E-4
5.58432647740581E-4,2.1662587566328995E-4
5.276301578129861E-4,2.046990140973648E-4
4.995575561572707E-4,1.938277857203019E-4
4.7388782374380156E-4,1.8388586322615197E-4
4.5034263170418143E-4,1.747657127131319E-4
4.2868376584426215E-4,1.663752860157075E-4
4.0870628061551173E-4,1.586353796954043E-4
3.902329920784098E-4,1.514775103164112E-4
3.7311001665862875E-4,1.448421929186594E-4
3.572031329790448E-4,1.386775369338622E-4
3.423947964495966E-4,1.329380939196767E-4
3.285816751592563E-4,1.2758390628775373E-4
3.156726046897873E-4,1.2257971775220255E-4
3.0358688185039284E-4,1.1789431450992538E-4
2.9225283418465864E-4,1.13499972806963E-4
2.8160661493359385E-4,1.0937199358718175E-4
2.7159118360309265E-4,1.0548830868817305E-4
2.621554397315151E-4,1.0182914629375261E-4
2.532534840868905E-4,9.837674545742914E-5
2.4484398596058554E-4,9.511511167303865E-5
2.3688963952483988E-4,9.202980683831186E-5
2.293566949598258E-4,8.910776800874487E-5
2.222145528003594E-4,8.633715068206982E-5
2.15435411886844E-4,8.370719269201743E-5
2.0899396283802218E-4,8.120809574396759E-5
2.0286712046324595E-4,7.883092196792063E-5
1.9703378943436434E-4,7.656750332785123E-5
1.9147465865021474E-4,7.441036212352259E-5
1.8617202018678114E-4,7.235264097982252E-5
1.811096096098197E-4,7.038804107928343E-5
1.7627246473228553E-4,6.851076759151198E-5
1.7164680038739277E-4,6.671548119197013E-5
1.6721989724288733E-4,6.499725508124499E-5
1.629800027993511E-4,6.33515366779136E-5
1.589162430306601E-4,6.177411347341177E-5
1.550185434959772E-4,6.026108247336737E-5
1.512775585954529E-4,5.880882285147493E-5
1.476846081818195E-4,5.7413971409125963E-5
1.4423162054910676E-4,5.607340052637966E-5
1.4091108107727734E-4,5.47841983111752E-5
1.3771598602119184E-4,5.354365066789768E-5
1.3463980062322634E-4,5.234922513164264E-5
1.3167642135059054E-4,5.119855624347025E-5
1.2882014158144273E-4,5.008943223927531E-5
1.26065620543514E-4,4.9019783060266775E-5
1.234078550327311E-4,4.7987669415050505E-5
1.20842153714662E-4,4.699127280538562E-5
1.1836411366150656E-4,4.602888643123748E-5
1.1596959902338E-4,4.509890698045638E-5
1.136547214359851E-4,4.419982700021308E-5
1.1141582219842405E-4,4.333022803670872E-5
1.0924945589785295E-4,4.248877423762565E-5
1.0715237542058276E-4,4.16742066118303E-5
1.0512151816133297E-4,4.0885337642571074E-5
1.0315399335958375E-4,4.01210464202606E-5
1.0124707052039383E-4,3.938027411809486E-5
9.939816860704553E-5,3.866201983182549E-5
9.76048462266732E-5,3.7965336774803404E-5
9.586479245982105E-5,3.728932874658142E-5
9.417581849469059E-5,3.66331468377723E-5
9.25358497649853E-5,3.599598644399293E-5
9.094291880629157E-5,3.537708445122689E-5
8.939515852546265E-5,3.477571667698243E-5
8.789079607396388E-5,3.41911954526708E-5
8.64281470223105E-5,3.362286737917941E-5
8.500561009405772E-5,3.3070111312483164E-5
8.362166217068534E-5,3.253233638034203E-5
8.227485367839904E-5,3.200898026012311E-5
8.096380432576211E-5,3.149950744329999E-5
7.968719905626642E-5,3.100340776374111E-5
7.8443784352622E-5,3.052019486915469E-5
7.723236473466955E-5,3.004940493411823E-5
7.605179951308827E-5,2.9590595381101537E-5
7.490099975626663E-5,2.914334370540672E-5
